Title,Author,CallNo,AccNo,
School psychology: new trends and innovations,Rajpal Kaur,371.5 RAJ,254658,
Science and technology: an introduction to the literature,"Grogan, Denis",500.16 GRO,103894,
"Scientific social surveys and research: an introduction to the background, content, methods, principles, and analysis of social studies","Young, Pauline V",300.072 YOU,33811,
Sears list of subject headings,"Miller, Joseph, ed.",025.49 SEA,267080,
Second generation economic reforms in India,,338.954 SEC,207599,
Second handbook of psychological and social instruments,"Pestonjee, Dinyar M, ed.",155.920202 SEC,118186,
Secretarial practice,"Shukla, M. C",651.374 SHU,106661,
Securities markets and products,,332.632 SEC,250096,
Security analysis and portfolio management,"Fischer, Donald E",332.64 FIS,183331,
Security analysis and portfolio management,"Pandian, Punithavathy",658.152 PAN,301524,
Security in computing,"Pfleeger, Charles P.",005.8 PFL,267148,
Seiberg-witten gauge theoyr,"Marcolli, Matilde",530.1435 MAR,234762,
Select modern governments: including the constitutions of England... and India,"Mahajan, Vidya Dhar",342.06 MAH,49981,
Selected poems,"Eliot, T. S",821.9 ELI,50073,
Selected poems of Byron,"Skelton, Robin",821.7008 SEL,23526,
selected topics in inorganic chemistry,"Malik, Wahid U.",546 MAL,216943,
Selected topics in inorganic chemistry,"Tuli, G. D.",546 MAL,303050,
Semiconductor devices,"Zambuto, Mauro",621.38152 ZAM,168437,
Semiconductor devices,"Kano,Kanaan",621.38152 KAN,300275,
Semiconductor devices: basic principles,Jasprit Singh,621.38152 JAS,204980,
Semiconductor devices: physics and technology,"Sze, S. M.",537.622 SZE,299533,
Semiconductor optoelctronics: physics and technology,Jasprit Singh,621.381045 JAS,168426,
Semiconductor optoelectronic devices,"Bhattacharya, Pallab",621.38152 BHA,196256,
Semiconductor physics and devices,"Islam, S S",537.622 ISL,250710,
Seminar on Maulana Abul Kalam Azad: ideology and politics,Jamia Millia Islamia. Department of History and Culture (1989 : New Delhi),324.220954 JAM,X550,
Senior practical physical chemistry: a comprehensive course of experiments (for post graduates students),"Khosla, B. D",541.3 KHO,183237,
Senior school physics,"Sehgal, D. L",530 SEH,189714,
Sensors and transducers,"Patranabis, D",621.381 PAT,231298,
Service management,"Dutta, Bholanath",658.313 DUT,301050,
Services for children and their families: aspects of child care for social workers,"Stroud, John, ed.",362.70942 SER,62517,
Services for the handicapped in India,"Taylor, Wallace W",362 TAY,39998,
Services marketing,"Apte, Govind",658.8 APT,277320,
Services marketing: integrating customer focus across the firm,"Zeithaml, Valarie A",658.8 ZEI,229694,
"Services marketing: people, technology, strategy","Lovelock, Christopher",658.8 LOV,229848,
Services marketing: the Indian context,"Srinivasan, R.",658.80954 SRI,271978,
Services marketing: the Indian perspective; text and readings,Ravi Shanker,658.800954 RAV,229651,
"Services: marketing, operations and management","Jauhari, Vinnie",658.8 JAU,277346,
Seven romantic poets,"Tosswill, T. D",821 SEV,23515,
"Seventh Plan and development of weeker sections: questions, challenges and alternatives","Kananaikil, Jose",338.95402 SEV,109107,
Sewage disposal and air pollution engineering,Garg Santohs Kumar,628.362 GAR,301893,
Shakespeare comedy and other studies,"Gordon, George",822.33O-R GOR,49134,
"Shakespearean tragedy: lectures on Hamlet, Othello, King Lear Macbeth","Bradley, A. C",822.33S-V BRA,197382,
Shaykh Ahmad Sirhindi: a study of his thought and its impact,"Bisati, Afroz Ahmad",297.4 BIS,235189,
She stoops to conquer,"Goldsmith, Oliver",822.6 GOL,49755,
Shigley's mechanical engineering design,"Budynas, Richard G.",621.815 BUD,266853,
Shop theory,"Anderson, James",621.902 AND,182274,
Shorter constitution of India,"Basu, Durga Das",342.5402 BAS,120596,
Shorter Oxford English dictionary: on historical principles,"Trumble, William R., ed.",423 SHO,267172,
Short-term capital flows and economic crises,"Griffith-Jones, Stephany",332.091724 SHO,201892,
Shoulder pain,"Cailliet, Rene",617.572 CAI,285806,
Shriver and Atkins inorganic chemistry,"Atkins, Peter",546 SHR,252288,
Signal processing first,"McClellan,James H.",621.3822 MCC,233996,
Signals and linear systems,"Gabel, Robert A",629.832 GAB,181757,
Signals and systems,"Chen, Chi-Tsong",621.3822 CHE,251717,
Signals and systems,"Oppenheim, Alan V.",621.3822 OPP,300310,
Sikh separatism: the politics of faith,"Kapur, Rajiv A",954.552 KAP,109047,
Simple map projection,Saieduddin Ahmed,526.8 SAI,4684,
Skills development for business and management students,"Gallagher, Kevin",658.30083 GAL,277465,
Slums and urbanization,"Desai, A. R",307.3364 SLU,57927,
Small business management fundamentals,"Steinhoff, Dan",658.022 STE,164831,
Small scale enterprises and entrepreneurship eco - system,"Desai, Vasant",338.642 DES,303175,
Social background of Indian nationalism,"Desai, A. R",320.540954 DES,65623,
Social casework: a problem-solving process,"Perlman, Helen Harris",361.32 PER,60805,
Social casework: principles and practice,"Timms, Noel",361.3 TIM,74921,
Social change and social research: an Indian perspective,"Mann, R. S",303.40954 MAN,178031,
Social change in complex organization,"Hage, Jerald",303.4 HAG,61368,
"Social change: sources, patterns and consequences","Etzioni-Halevy, Eva",303 SOC,61161,
Social choice and individual values,"Arrow, Kenneth J",330.072 ARR,C8374,
Social class & mental illness: a community study,Hollingshead August B,362.2 HOL,101110,
"Social exclusion, integration and inclusive policies","Subramanyam, V., ed.",305.56095484 SOC,269793,
Social geography,Aijazuddin Ahmad,910.13042 AIJ,278597,
Social group work,"Trecker, H. B",361.4 TRE,X653,
Social group work practice: the creative use of the social process,"Wilson, Gertrude",361.4 WIL,R876,
Social group work: a helping process,"Konopka, Gisela",361.4 KON,50033,
Social inequality: selected readings,"Beteille, Andre.",305 SOC,37795,
Social legislation in India,"Gangrade, K. D.",362.02654 GAN,74448,
Social movements in India,"Rao, M. S. A",303.4840954 SOC,73810,
Social origins of dictatorship and democracy: lord peasant in the making of the modern world,"Moore, Barrington",321.9 MOO,66945,
"Social policy: an introduction,","Titmuss, Richard M",361.25 TTT,101111,
Social problems in India,"Ahuja, Ram",361.10954 AHU,206063,
Social psychology,"Baron, Robert A",302 SOC,285853,
Social reforms: infanticide and sati,"Saxena, R. K",303.48409544 SAR,60209,
Social research: a study in methods of gathering data,"Lundberg, George A",300.72 LUN,11010,
Social science research: a handbook,"Freman, Gerald S",300.72 FRE,90461,
Social security in India,"Srivastava, P. C.",362.0954 SRI,77658,
Social stratification and change in India,Yogendra Singh,305.5120954 YOG,180004,
Social stratification and mobility in rural setting,"Deb, P. C",305.51220954 DEB,57206,
Social structures and economic dynamics in Japan upto 1980,"Fodella, Gianni",338.952 FOD,64831,
Social system,"Parsons, Talcott",301 PAR,45912,
Social theory,"Wilson, John",301.01 WIL,103053,
Social theory & social policy,"Pinker, Robert",301 PIN,55235,
Social welfare administration,"Chowdhry, D. Paul",361.954 CHO,75774,
Social welfare in India: Mahatma Gandhi's contributions,"Muzumdar, Ammu Menon",361.954 MAC,57926,
Social welfare organisation,"Jagannadham, V.",361.650954 JAG,56053,
Social work and medical practice,"Prins, Herschel A",362.104425 PRI,62516,
Social work and social action: a developmental perspective,"Siddiqui, H. Y.",361.20954 SOC,142248,
Social work education and development of weaker sections: proceedings of the seminar,"Nair, T. Krishnan, ed.",361.30954071 SOC,74987,
Social work in child care,"Pugh, Elisabeth",362.7 PUG,63119,
Social work in foster care: collected papers,"Tod, Robert, ed.",362.733 SOC,61753,
Social work micro practice:,Netting F. Ellen,361.32 NET,190555,
Social work research: methods for the helping professions,"Polansky, Norman A., ed.",361.3072 SOC,60789,
Social work with children,"Berry, Juliet",362.7 BER,63060,
Social work with group,"McCullough, M. K.",361.4 MCC,60793,
Social work with groups,"Northen, Helen",361.4 NOR,61758,
Socialism: the active Utopia,"Bauman, Zygmunt",335.12 BAU,57798,
Socialization to politics,"Jaros, Dean",320.01 JAR,64977,
Societies in change: an introduction to comparative sociology,"Berger, Brigitte",301 BER,60781,
Society and culture in medieval India: 1206-1556 A.D.,"Rashid, A",909.0954 RAS,9979,
Society in India,"Mandelbaum, David.G",301.0954 MAN,242371,
"Society in India: concepts, theories and changing trends","Ahuja, Ram",301.0954 AHU,206059,
Society in transition: a social approach to deviancy,"Winslow, Robert W",303.4 WIN,62540,
Socio-economic profile of Mewat,Rocket Ibrahim,361.10954558 ROC,284746,
Sociological imagination,"Mills, C. Wright",301 MIL,59216,
Sociological reader on complex organizations,"Etzioni, Amitai",302.35 ETZ,76287,
Sociological theory,"Coser, Lewis A,ed.",301.01 SOC,65223,
Sociological theory: an introduction,"Wallace, Walter L",301.01 WAL,44142,
Sociological theory: inquiries and paradigms,"Gross, Llewellyn, ed.",301.01 SOC,59049,
Sociological theory: its nature and growth,"Theoderson, George A",301 TIM,63659,
Sociology,"Sprott, W. J. H",301 SPR,46513,
Sociology,"Horton, Paul B",301 HOR,237913,
Sociology and development,"De Kadt, Emanuel",303.44 SOC,60842,
Sociology and industrial life,"Eldridge, J. E. T",301 ELD,49909,
Sociology in social work,"Leonard, Peter",361.3 LEO,R7375,
Sociology of revivalism: a study of Indianization Sanskritization and Golwalkarism,"Gangadharan, K. K",303.40954 GAN,54744,
"Sociology, social research and social problems in India","Saksena, R. N.",301.0954 SOC,R4169,
Sociology: a guide to problems and literature,"Bottomore, T. B",301 BOT,267014,
Sociology: a synopsis of principles,"Cuber, John F",301.0202 CUB,8962,
Sociology: a systematic introduction,"Johson, Harry M",301 JOH,267016,
Sociology: a text with adapted readings,"Broom, Leonard",301 BRO,44161,
Sociology: an outline for the intending student,"Mitchell, Duncan",301 SOC,63575,
Sociology: introductory readings,"Giddens, Anthony",301 GID,178957,
Sociology: themes and perspectives,"Haralambos, Michael",301 HAR,267021,
Soft tissue pain and disability,"Cailliet,Rene",617.47 CAI,285803,
Software engineering,"Sommerville, Ian",005.1 SOM,258191,
Software engineering,"Aggarwal, K.K.",004.42 AGG,317727,
Software engineering concepts,"Fairley, Richard E.",005.1 FAI,235664,
Software engineering: a practitioner's approach,"Pressman, Roger S",005.1 PRE,197803,
Software engineering: a practitioner's approach,"Pressman, Roger S.",005.1 PRE,314870,
Software quality: concepts and practices,"Khan, R.A.",005.10684 KHA,318420,
Software testing,"Singh, Yogesh",005.43769 SIN,316871,
Software testing techniques,"Beizer, Boris",005.43769 BEI,257548,
Soil engineering: in theory and practice,Alam Singh,624.151 ALA,301657,
Soil mechanics and foundatio,"Punmia, B. C",624.15136 PUN,285160,
Soil mechanics and foundation engineering: geotechnical engineering in SI units,"Arora, K.R.",624.1513 ARO,303665,
Soil mechanics and foundations,"Punmia, B.C.",624.1513 PUN,301492,
Solar energy utilisation,"Rai, G.D",621.47 RAI,232704,
Solar energy: principles of thermal collection and storage,"Sukhatme, Suhas P",621.47 SUK,182088,
Solid mechanics,"Kazimi, S. M. A",531 KAZ,266876,
Solid state chemistry,"Ropp, R.C.",541.0421 ROP,316929,
Solid state chemistry and its applications,"West, Anthony R.",541.0421 WES,314682,
Solid state electronic devices,"Streetman, Ben G.",621.3661 STR,299468,
Solid state engineering physics,"Basu, Prabir K.",530.41 BAS,257367,
Solid state physics,"Singh, R.J.",530.41 SIN,278370,
Solid state physics,"Ashcroft, Neil W.",530.41 ASH,278445,
Solid state physics,"Pillai, S.O.",530.41 PIL,278465,
Solid state physics,"Singhal, R.L.",530.41 SIN,278470,
Solid state physics,"Ashcroft, Neil W.",530.41 ASH,299167,
Solid state physics,"Dekker, Adrianus J.",530.41 DEK,299488,
Solid state physics,"Hook, J.R.",530.41 HOO,314483,
Solid state physics,"John, Rita",530.41 JOH,316680,
Solid state physics: an introduction,"Hofmann, Philip",530.41 HOF,264341,
Solid- state physics: an introduction to theory & experiment,"Ibach, Harald",530.41 IBA,158873,
Solid state physics: principles and applications,"Asokamani, R",530.41 ASO,237421,
Solid state physics: structure and properties of materials,"Wahab, M A",530.41 WAH,299449,
Solution manual to accompany Shriver & Atkins Inorganic chemistry,"Hagerman,  Machael E",546 HAG,301067,
Solutions manual to accompany inorganic chemistry,"Hadzovic, Alen",546 HAD,314597,
Solutions manual to accompany organic chemistry,"Warren, Stuart",547 WAR,252321,
Solutions to problems in Shukla and Grewal's advanced accountancy,"Shukla, M. C",657.046 SHU,105276,
Some aspects of Indian public finances,"Bhargava, P. K",336 BHA,285298,
Some aspects of the Indian administrative system,"Sharma, Sri Ram",351.54 SHA,C4461,
Some problems of India's population,"Agarwala, S. N",304.60954 AGA,R6377,
Sound,"Mathur, D. S",534 MAT,74721,
Southeast Asia,"Dobby, E. H. G",915.9 DOB,22502,
"South-East Asia: a social, economic and political geography","Fischer, Charles A",915.9 FIS,52096,
"Spacetime, geometry and gravitation",Sharan Pankaj,530.11 SHA,263961,
Spatial dimensions of scheduled castes in India,"Chandna, R.C.",305.568 CHA,284726,
Speaking English effectively,Krishna Mohan,428.2 KRI,198359,
Special electrical machines,"Venkataratnam, K.",621.31042 VEN,274850,
Special structural concretes,"Siddique, Rafat",624.183 SID,196360,
Specialty polymers,"Dyson, R. W., ed.",620.192 SPE,264342,
Spectrometric identification of organic compounds,"Silverstein, Robert M",547.30858 SIL,244416,
Spectrometric identification of organic compounds,"Silverstein, Robert M.",543.5 SPE,313987,
Spectroscopy of organic compounds,"Kalsi, P S",543.0858 KAL,230358,
Speech and audio signal processing: processing and perception of speech and music,"Gold, Ben.",621.382 GOL,232796,
Spice,"Roberts, Gordon W.",621.3815 ROB,276184,
Sport nutrition for health and performance,"Manore, Melinda M.",613.2 MAN,286514,
Sport nutrition: an introduction to energy production and performance,"Jeukendrup , Asker",613.2024796 JEU,300429,
"Sports injuries examination, imaging and management: examination, imaging and management","Eustace, Stephen",617.1027 EUS,286485,
Sports rehabilitation and injury prevention,"Comfort, Paul, ed.",617.1027 SPO,285828,
SPSS for windows step by step,"George, Darren",005.55 GEO,297146,
SQL server 7: developer's guide,"Otey, Michael",005.362 OTE,198195,
SQL: the complete refrence,"Groff, James R",005.362 GRO,236083,
Standard boiler operators: questions and answers,"Elonka, Stephen Michael",621.56076 ELO,168318,
Standard C + + with object-oriented programming,"Wang, Paul S",005.133 WAN,204704,
Standard English-Urdu dictionary,"Abdul Haq, Ed.",423.91439 STA,297031,
Standard twenty first century dictionary: Urdu into English,"Qureshi, Bashir Ahmad, comp.",491.439321 STA,249385,
State governments in India,"Maheshwari, S. R.",352.130954 MAH,198302,
State politics in India,Iqbal Narain,320.10954 STA,60994,
Statics,"Ramsey, A. S",531.2 RAM,183744,
Statistical analysis: with business and economic applications,"Chou, Ya-Lun",519.502433 CHO,98871,
Statistical geography: methods and applications,"Alvi, Zamir",910.72 ALV,162315,
Statistical mechanics,"Huang, Kerson",530.13 HUA,195198,
Statistical mechanics,"Pathria, R.K.",530.13 PAT,299454,
Statistical mechanics: an introduction,"Guha, Evelyn",530.13 GUH,257331,
Statistical methods,"Gupta, S.P.",310 GUP,285553,
Statistical methods in geographical studies,Aslam Mahmood,910.727 ASL,278592,
Statistical physics,"Mandl, F.",530.13 MAN,299312,
Statistical reasoning in psychology and education,"Minium, Edward W.",150.21 MIN,195525,
Statistical reasoning in sociology,"Mueller, John H",310 MUE,67426,
Statistical techniques in business and economics,"Lind, Douglas A.",519.502433 LIN,297151,
Statistical thermodynamics,"Gupta, M. C",519.5 GUP,154143,
Statistice for business and economics,"Hooda, R P",330.021 HOO,229870,
Statistics,"Spiegel, Murray R",310 SPI,297156,
Statistics for business and economics,"Chandan, Jit S",330.021 CHA,191557,
Statistics for business and economics,"Hooda,R. P",330.021 HOO,199954,
Statistics for geoscientists: techniques and applications,,519.5 PAL,189424,
Statistics for management using MS Excell,"Sah, A. N.",658.0021 SAH,301053,
Statistics for psychology,"Aron, Arthur",150.724 ARO,285863,
Statistics in psychology and education,"Garrett, Henry E.",151.21 GAR,257540,
Statistics: concepts and applications,Nabendu Pal.,310 NAB,234781,
Statistics: concepts and applications,"Pal, Nabendu",310 PAL,284845,
Steam turbine theory and practice: Textbook for engineering students,"Kearton, William J",621.433 KEA,181883,
Steel structures: design and practice,"Subramanian, N.",624.1821 SUB,316755,
Steel tables,"Ramamrutham, S, ed.",624.1821 STE,63763,
Stendhal red and the black,"Haig, Stirling",843.5 HAI,178360,
Steps in library cataloguing: a practice manual for Dr. S. R. Ranganathan's classified catalogue code,"Mohanrajan, P. A",025.32 MOH,142668,
Stereochemistry conformation and mechanism,"Kalsi, P.S.",541.223 KAL,237981,
Stereochemistry of organic compounds,"Eliel, Ernest L.",547.1223 ELI,313993,
Stereochemistry of organic compounds: principles and applications,"Nasipuri, D",547.1223 NAS,207115,
Stereochemistry: conformation and mechanism,"Kalsi, P. S",541.223 KAL,179787,
Stock tubes,"Wright, J. K",629.13452 WRI,45333,
Store management,"Ray, Reuben",658.785 RAY,296769,
Strange case of Dr. Jekyll and Mr. Hyde and other stories,"Stevenson, Robert Louis",823.8 STE,183153,
Strategic applications of named reactions in organic synthesis: background and detailed mechanisms,"Kurti, Laszlo",547.2 KUR,265284,
Strategic human resource development,"Kandula, Srinivas R.",658.3 KAN,207698,
Strategic IT management: a concise study,"Kelkar, S.A.",658.4012 KEL,271890,
Strategic management,"Singh, S.P.",658.4012 SIN,241603,
Strategic management,"Hoti, B.S.",658.4012 HOT,260903,
Strategic management and competitive advantage: concepts,"Barney, Jay B.",658.4012 BAR,271893,
Strategic management: concepts and cases,"Thompson, Jr. Arthur A.",658.4012 THO,229706,
Strategic management: concepts and cases,"David, Fred R.",658.4012 DAV,271906,
Strategic marketing management,The Institute of Chartered Financial Analysts of India,658.8 INS,255846,
Strategic marketing: making decisions for strategic advantage,"Sahaf, Musadiq A.",658.802 SAH,271983,
"Strategic planning formulation of corporate strategy: text and cases , Indian context","Ramaswamy,V.S.",338.76 RAM,198833,
Strategies for organic drug sysnthesis and design,"Lednicer, Daniel",615.3 LED,265722,
Strength of materials,"Ryder, G. H",620.112 RYD,50089,
Strength of materials,"Ramamrutham, S",620.112 RAM,102510,
Strength of materials,"Jindal, U.C.",620.112 JIN,188322,
Strength of materials,"Khurmi, R. S",620.112 KHU,229280,
Strength of materials,"Subramanian, R.",620.112 SUB,276145,
Strength of materials,"Ramamrutham, S.",620.112 RAM,317054,
Strength of materials,"Singer, Ferdinand L",620.112 SIN,R6793,
Strength of materials: mechanics of solids,"Khurmi, R. S.",620.112 KHU,317760,
Strength of materials: problems and objectives,"Bose, S K",620.112 BOS,230649,
String theory in a nutshell,"Kiritsis, Elias",539.7258 KIR,299288,
Structural analysis,"Bhavikatti, S S",624.171 BHA,248559,
Structural design & drawing,"Krishnamurthy, D.",624.177 KRI,203658,
Structural dynamics: theory and computation,"Paz, Mario",624.1771 PAZ,203660,
Structural engineering: through objective questions,"Dayaratnam, P",624.1 DAY,168129,
Structure and change in Indian society,"Singer, Milton",307.30954 STR,R7325,
Structure determination of organic compounds,"Pretsch, E.",547.2 PRE,258628,
Structure of economics: a mathematical analysis,"Silberberg, Eugene",330.1543 SIL,175352,
Structure of social action: a study in social theory with special reference to a group of recent European writers,"Parsons, Talcott",361.2 PAR,44164,
Structured computer organization,"Tanenbaum, Andrew S",004.22 TAN,202997,
Student reference manual for electronic instrumentation laboratories,"Wolf, Stanley",621.38154078 WOL,202785,
Student's guide to fourier transforms with applications in phyics and engineering,"James, J. F.",515.723 JAM,320242,
Studies in Chinese society,"Wolf, Arthur P",301.0951 STU,99480,
Studies in hindu law,Tahir Mahmood,340.58 TAH,120554,
Studies in Islamic culture in the Indian environment,Aziz Ahmad,306.60917671 AZI,R5249,
Studies in Islamic mysticism,"Nicholson, Reynold Alleyne",297.4 NIC,34472,
Studies in Marxism and political science,"Seshadri, Kandadai",320.532 SES,72530,
Studies in monetary economics,"Patinkin, Don",332.4 PAT,67133,
Studies in the development of capitalism,"Dobb, Maurice",338.907 DOB,60615,
Studies on the civilization of Islam,"Gibb, H. A. R",297 GIB,5692,
Study guide and solutions manual to accompany organic chemistry,"Loudon, G. Marc",547.0076 LOU,252328,
Study guide and solutions manual to accompany organic chemistry,"Solomons, T.W. Graham",547 SOL,263927,
Study guide to organic chemistry,"Morrison, Robert Thornton",547 MOR,315288,
Study of Islamic history,"Ali, K",953 ALI,73533,
Subject catalogue: headings and structure,"Coates, E. J",025.47 COA,161494,
Sub-station design and equipment,"Satnam, Partap Singh",621.30284 SAT,177259,
"Supply chain management: concepts, practices and implementation","Sharma, Sunil",658.8 SHA,277374,
"Supply chain management: process, system and practice","Chandrasekaran, N.",658.8 CHA,277335,
Supramolecular chemistry: concepts and perspectives,"Lehn, Jean-Marie",547.1226 LEH,316846,
Surface and interfacial science: applications to engineering and technology,"Rastogi, M C",530.417 RAS,231428,
Survey methods in social investigation,"Moser, C. A",300.72 MOS,Z55,
Survey of international trade theory,"Haberler, Gottfried",382.01 HAB,37832,
survey of research in psychology,Indian Council of Social Science Research (New Delhi),150.72 IND,49847,
"Survey of research in psychology, 1971-76","Pareek, Udai",150.724 SUR,75722,
Survey of Russian history,"Sumner, B. H",,C5370,
Surveying,"Punmia, B. C",526.9 PUN,99860,
Surveying,Narinder Singh,526.9 NAR,168198,
Surveying,"Punmia, B.C.",526.9 PUN,232127,
Surveying,"Duggal, S K",526.9 DUG,236042,
Surveying,"Punmia, B.C.",526.9 PUN,301486,
Surveying,"Mahajan, Sanjay",526.9 MAH,316208,
Surveying,"Kochher, C. L.",526.9 KOC,316510,
Surveying: higher surveying,"Punmia, B.C.",526.9 PUN,303113,
"Sustainable livelihoods perspective and MGNREGA: An assessment in District Mewat, Haryana",Bindiya Narang,352.17054558 NAR,308259,
Switched mode power supplies: design and construction,"Whittington, H.W.",621.317 WHI,274839,
Switchgear and protection,"Deshpande, M. V",621.317 DES,152945,
System software: an introduction to systems programming,"Beck, Leland L.",005.42 BEC,285375,
Systematic geography of Jammu and Kashmir,Majid Husain,915.46 MAJ,191803,
Systematic identification of organic compounds,"Shriner, Ralph L.",547.34 SYS,244410,
Systems analysis and design,"Kendall, Kenneth E",004.2 KEN,231764,
Systems analysis and design,"Awad, Elies M",004.21 AWA,297206,
Systems analysis and design,"Kendall,Kenneth E.",004.2 KEN,299558,
Systems analysis and design,"Dennis, Alan",621.38215 DEN,299562,
Systems analysis and design methods,"Whitten, Jeffrey L.",004.21 WHI,285346,
Systems analysis and design methods,"Shelly, Gary B.",003 SHE,297057,
Systems programming,"Donovan, John J",005.42 DON,265823,
Systems programming and operating systems,"Dhamdhere, D.M.",005.43 DHA,285378,
Systems: modelling and analysis,"Nagrath, I. J",621.3822 NAG,143935,
"Taxation's income-tax rules, 1962: alongwith investment deposit account scheme... Rules, 1957","Tandon, O. C",336.24 TAX,133083,
Taxmann's auditing: principles and practice,"Sharma, S.D.",657.45 SHA,205787,
Taxmann's direct taxes: law and practice (2005-2006),"Singhania, Vinod K",343.052 SIN,235535,
Taxmann's direct taxes: problems and solutions,"Singhania, Kapil",343.5404 SIN,179293,
Taxmann's fundamentals of financial accounting,"Sehgal, Ashok",657.48 SEH,205794,
Taxmann's student's guide to mercantile and commercial laws,"Aggarwal, Rohini",346.07 AGG,205791,
Taxmann's: students' guide to income tax,"Singhania, Vinod K",336.24 SIN,179738,
Taxonomy of angiosperms,"Pandey, B. P",580 PAN,183424,
Taxonomy of vascular plants,"Lawrence, George H.M.",580 LAW,206716,
TCP/IP protocol suite,"Forouzan, Behrouz A",004.62 FOR,317729,
Teach yourself Arabic,"Tritton, A.S.",492.78 TRI,241128,
Teach yourself UNIX,"Reichard, Kevin",005.42282 REI,194691,
Teach yourself.. C++.,"Stevens, Al",005.133 ALS,233026,
Teaching science in our schools,"Nair, C. P. S",371.95335 NAI,49648,
Telecommunications and the computer,"Martin, James",621.3822 MAR,182343,
Telecommunications: present status and future trends,"Linfield, Robert F.",004.65 LIN,242891,
Television and video engineering,"Dhake, Arvind M.",621.388 DHA,182094,
Tempest,"Shakespeare, William",822.33956 SHA,197386,
Tennyson: aspect of his life character and poetry,"Nicolson, Harold",821.8 NIC,C1946,
Tensors,"Misra ,Ram Bilas",515.63 MIS,204223,
Terpenoids,"Ahluwalia, V.K.",547.71 AHL,301090,
Tess of the d' Urbervilles: a pure woman,"Skilton, David",823.809 HAR,178305,
Test your C skills,"Kanetkar, Yashavant P",005.133C KAN,303072,
Test your C++ skills,"Kanetkar, Yashvant P.",005.133C KAN,257589,
Testing commissioning operation and maintenance of electrical equipment,"Arora, B.D.",621.381548 KAK,232785,
"Tests, measurements and research methods in behavioural sciences","Singh, Arun Kumar",150.724 SIN,183401,
Text book of analytical geometry,"Jain , P. K.",516.3 JAI,300135,
Text book of applied mechanics,"Arora, N L",620.1 ARO,234974,
Text book of business communication,"Haldar, Ritwik",651.7 HAL,296829,
Text book of calculus,Khalil Ahmad,515 KHA,300145,
Text book of cost accountancy,"Arora, M. N",657.42 ARO,200164,
Text book of differential equations,Khalil Ahmad,515.35 KHA,300155,
Text book of electrical science,"Dargan, C R",621.3 DAR,285489,
Text book of electrical technology: in S.I. system units,"Theraja, B. L",621.3 THE,177191,
Text book of Engineering Mechanics,"Basu, A. R",620.1 BAS,303673,
Text book of environmental chemistry,"Tyagi, O. D",577.14 TYA,189586,
Text book of fluid mechanics and hydraulic machines: in M. K. S. and S. I. Units,"Bansal, R. K",621 BAN,179325,
Text book of human histology,Inderbir Singh,611.018 IND,286262,
Text book of hydraulics,"Khurmi, R. S.",627 KHU,50092,
Text book of machine drawing,"Gupta, R. B",604.2 GUP,300046,
Text book of material science,"Manchanda, V K",620.11 MAN,233013,
Text book of organic chemistry,"Ahluwalia, V. K.",547 AHL,301108,
Text book of practical geography,Zulfequar Ahmad Khan,910 ZUL,179364,
Text book of practical physics,Indu Prakash,530 IND,177544,
Text book of surveying and levelling,"Agor,R.",625.72 AGO,301895,
Text book of thermal engineering: thermodynamics,"Thethi, S. S.",621.402 THE,233217,
Text book of workshop technology: manufacturingprocesses and practices,"Manchanda, V. K.",670 MAN,232948,
"Text book on power electronics: devices, circuits, systems and applications","Rai, Harish C.",621.317 RAI,251131,
Text information retrieval systems,"Meadow, Charles T",025.04 MEA,150631,
Textbok of medical physiology,"Guyton, Arthur C.",612.1 GUY,236310,
Textbook of abnormal psychology,"Barlow, David H",616.89 BAR,276953,
Textbook of analytical geometry of three dimentions,"Jain, P K",516 JAI,234475,
Textbook of analytical geometry of two dimensions,"Jain, P K",516.3 JAI,267002,
Textbook of anatomy: With colour atlas,"Inderbir, Singh",571.3 IND,285804,
Textbook of applied chemistry with lab manual and solved exam papers,"Chawla, Shashi",660 CHA,317440,
Textbook of applied electronics,"Sedha, R. S.",621.38 SED,301836,
Textbook of applied mechanics,"Ramamrutham, S",620.1 RAM,111358,
Textbook of applied physics,"Jha, A K",621 JHA,316670,
Textbook of biochemistry,"Harrow, Benjamin",572 HAR,44014,
Textbook of biochemistry,"Singh, S. P",572 SIN,159445,
Textbook of biochemistry: with clinical correlations,"Devlin, Thomas M, ed.",612.015 TEX,196384,
Textbook of Botany,"Pandey, S.N",580 PAN,202202,
Textbook of botany,"Bhattacharya,Kashinath",580 BHA,285451,
Textbook of botany: plants anatomy and economic botany,"Pandey, S. N.",580 PAN,202222,
Textbook of business law,"Gogna, P. P. S",346.07 GOG,183677,
Textbook of community medicine: preventive and social medicine,Sunder Lal,614.44 SUN,286486,
Textbook of construction management and accounts,"Sharma, J.L.",658.311 SHA,317064,
Textbook of co-ordinate geometry,Ram Ballabh,516.16 RAM,74942,
Textbook of cost and management accounting,"Arora, M.N.",657.42 ARO,259637,
Textbook of differential calculus,Khalil Ahmad,515.33 KHA,216949,
Textbook of differential calculus,Ahsan Akhtar.,515.33 AHS,234727,
Textbook of differential calculus,Khalil Ahmad,515.33 KHA,285549,
Textbook of digital image processing,"Reddy, M. Anji",621.367 RED,248359,
Textbook of dynamics,"Chorlton, F",531.11 CHO,234732,
Textbook of dynamics of a particle,"Bose, S. K",531.163 BOS,74470,
Textbook of economic development,"Mukerjee, Suman K",338.954 MUK,179449,
